index,user_id,SmsPerUser,PushPerUser,EmailsPerUser,NotsPerUser,cancelled_transactions,pending_transactions,failed_transactions,reverted_transactions,declined_transactions,completed_transactions,outbound_transactions,inbound_transactions,Age,country,city,created_date,user_settings_crypto_unlocked,plan,num_contacts,num_referrals,num_successful_referrals,months_subscribed,inbound_outbound_ratio,AvgNotsPerMonth,AvgEmailsPerMonth,AvgPushPerMonth,AvgSmsPerMonth
0,11,1.0,6.0,1.0,8.0,0.0,0.01818181818181818,0.0,0.05454545454545454,0.05454545454545454,1.5636363636363637,78.0,15.0,70,2,0,2018-03-01 05:30:13.905443,0,0,0,0,0,27,0.16129032258064516,0.2962962962962963,0.037037037037037035,0.2222222222222222,0.037037037037037035
1,12,1.0,7.0,2.0,10.0,0.0,0.02040816326530612,0.0,0.02040816326530612,0.1836734693877551,1.3673469387755102,66.0,12.0,59,2,0,2018-07-19 13:06:59.661610,0,0,6,0,0,23,0.15384615384615385,0.43478260869565216,0.08695652173913043,0.30434782608695654,0.043478260869565216
2,13,1.0,8.0,2.0,11.0,0.0,0.0,0.03636363636363636,0.01818181818181818,0.01818181818181818,0.07272727272727272,4.0,4.0,39,1,1,2018-03-10 20:14:55.759481,0,0,0,0,0,27,0.5,0.4074074074074074,0.07407407407407407,0.2962962962962963,0.037037037037037035
3,18,1.0,3.0,2.0,6.0,0.0,0.0,0.0,0.011538461538461539,0.0038461538461538464,0.038461538461538464,7.0,7.0,40,2,0,2018-04-24 14:34:21.514959,0,0,0,0,0,26,0.5,0.23076923076923078,0.07692307692307693,0.11538461538461539,0.038461538461538464
4,37,1.0,5.0,2.0,8.0,0.0,0.17073170731707318,0.024390243902439025,0.04878048780487805,0.12195121951219512,4.341463414634147,184.0,9.0,37,2,1,2018-08-14 01:10:20.763212,1,0,1,0,0,22,0.046632124352331605,0.36363636363636365,0.09090909090909091,0.22727272727272727,0.045454545454545456
5,42,1.0,4.0,2.0,7.0,0.0,0.005,0.0,0.035,0.065,1.555,308.0,24.0,30,2,0,2018-08-22 01:37:43.997131,1,0,0,0,0,22,0.07228915662650602,0.3181818181818182,0.09090909090909091,0.18181818181818182,0.045454545454545456
6,48,1.0,5.0,0.0,6.0,0.0,0.0,0.0,0.07692307692307693,0.038461538461538464,0.19230769230769232,12.0,4.0,42,1,1,2018-07-11 10:11:47.808378,0,0,0,0,0,23,0.25,0.2608695652173913,0.0,0.21739130434782608,0.043478260869565216
7,50,2.0,8.0,1.0,11.0,0.0,0.0,0.0,0.18181818181818182,0.09090909090909091,0.6363636363636364,8.0,2.0,32,2,0,2018-03-05 17:17:40.162006,0,0,1,0,0,27,0.2,0.4074074074074074,0.037037037037037035,0.2962962962962963,0.07407407407407407
8,62,1.0,7.0,2.0,10.0,0.0,0.0,0.0,0.10869565217391304,0.13043478260869565,0.6956521739130435,38.0,5.0,58,2,0,2018-08-13 06:13:33.647266,0,0,31,0,0,22,0.11627906976744186,0.45454545454545453,0.09090909090909091,0.3181818181818182,0.045454545454545456
9,72,1.0,7.0,1.0,9.0,0.0,0.0,0.0,0.05511811023622047,0.047244094488188976,0.23228346456692914,52.0,33.0,28,2,0,2018-06-29 02:50:58.342755,0,0,55,0,0,24,0.38823529411764707,0.375,0.041666666666666664,0.2916666666666667,0.041666666666666664
